Sr.No,type,title,country,Time_Of_Acquisition,release_year,Genre,rating
120,Movie,Harud,India,Jan-16,2010,Drama,6.5
121,Movie,Umrika,India,Jan-16,2015,"Drama,Comedy",6.6
637,Movie,1000 Rupee Note,India,Jan-16,2014,Drama,7.3
638,Movie,Interrogation,India,Jan-16,2015,"Action,Thriller",4.9
639,Movie,The Violin Player,India,Jan-16,2016,Drama,6.9
442,Movie,X: Past Is Present,India,Jul-16,2015,Drama,5.3
661,Movie,Dhanak,India,Aug-16,2015,Drama,7.9
688,Movie,John & Jane,India,Aug-16,2005,Documentary,7.1
132,Movie,Ludo,India,Nov-16,2015,Drama,7.6
133,Movie,The Land of Cards,India,Nov-16,2012,Fantasy,4.5
148,Movie,Mumbai Cha Raja,India,Nov-16,2012,Drama,6.5
625,Movie,Famous in Ahmedabad,India,Dec-16,2015,Documentary,7.5
23,Movie,Aakhri Adaalat,India,Jan-17,1988,Action,5.3
24,Movie,Chadi Jawani Budhe Nu,India,Jan-17,1976,Rom-Com,4.1
25,Movie,Ek Jaan Hain Hum,India,Jan-17,1983,Drama,6.4
26,Movie,Khoon Khoon,India,Jan-17,1973,Action,5.2
27,Movie,Lorai: Play to Live,India,Jan-17,2015,"Drama,Sport",7.3
28,Movie,Manoranjan,India,Jan-17,1974,Comedy,6.9
29,Movie,Mujrim,India,Jan-17,1989,Crime,5.5
119,Movie,Wrong Side Raju,India,Jan-17,2016,"Drama,Thriller",7.9
187,Movie,6-5=2,India,Jan-17,2014,"Thriller,Horror",5.9
188,Movie,Bandie,India,Jan-17,1978,"Action,Drama",4.4
189,Movie,Beiimaan Love,India,Jan-17,2016,"Drama,Romance",2.8
190,Movie,Coffee with D,India,Jan-17,2017,Comedy,4.5
191,Movie,Kacche Dhaagey,India,Jan-17,2016,Action,6
192,Movie,Kis Kisko Pyaar Karoon,India,Jan-17,2015,Comedy,5.7
193,Movie,One Heart: The A.R. Rahman Concert Film,India,Jan-17,2017,Documentary,8.6
194,Movie,Rivaaz,India,Jan-17,2011,Drama,4.8
195,Movie,Trip to Bhangarh: Asia's Most Haunted Place,India,Jan-17,2014,Horror,2.4
196,Movie,Waarrior Savitri,India,Jan-17,2016,"Action,Drama",5.5
197,Movie,Yaara O Dildaara,India,Jan-17,2011,Romance,5.6
253,Movie,Abby Sen,India,Jan-17,2015,Drama,5.8
254,Movie,Bittoo Boss,India,Jan-17,2012,Romance,4.1
255,Movie,Bombay Talkies,India,Jan-17,2013,Drama,6.7
256,Movie,Boss,India,Jan-17,2013,Action,5.1
257,Movie,Budhia Singh: Born to Run,India,Jan-17,2016,"Drama,Sport",7.7
258,Movie,Chaahat,India,Jan-17,1996,Drama,5.5
259,Movie,Chashme Buddoor,India,Jan-17,2013,Comedy,5.4
260,Movie,Dharam Sankat Mein,India,Jan-17,2015,Comedy,6.3
261,Movie,Drishyam,India,Jan-17,2015,Thriller,8.2
262,Movie,English Babu Desi Mem,India,Jan-17,1996,Comedy,4.7
263,Movie,Fire in the Blood,India,Jan-17,2012,Documentary,7.7
264,Movie,Gollu Aur Pappu,India,Jan-17,2014,Comedy,4.3
265,Movie,Inkaar,India,Jan-17,2013,"Drama,Romance",6.1
266,Movie,Loev,India,Jan-17,2015,Romance,5.8
267,Movie,Mary Kom,India,Jan-17,2014,"Drama,Sport",6.8
268,Movie,Moh Maya Money,India,Jan-17,2016,"Thriller,Crime",5.6
269,Movie,Mumbai Delhi Mumbai,India,Jan-17,2014,Rom-Com,5.7
270,Movie,Oh My God,India,Jan-17,2012,Fantasy,8.1
271,Movie,One by Two,India,Jan-17,2014,Rom-Com,4.2
272,Movie,Pyaar Ka Punchnama,India,Jan-17,2011,Rom-Com,7.7
273,Movie,Pyaar Ka Punchnama 2,India,Jan-17,2015,Rom-Com,7.3
274,Movie,Queen,India,Jan-17,2014,"Drama,Comedy",8.2
275,Movie,Raja Hindustani,India,Jan-17,1996,"Drama,Romance",6.2
276,Movie,Saeed Mirza: The Leftist Sufi,India,Jan-17,2016,Documentary,7.9
277,Movie,Shaitan,India,Jan-17,2011,"Thriller,Crime",7.2
278,Movie,Special 26,India,Jan-17,2013,Thriller,8
279,Movie,Tanu Weds Manu,India,Jan-17,2011,"Drama,Romance",7.6
280,Movie,What the Fish,India,Jan-17,2013,Comedy,5.1
281,Movie,Yamla Pagla Deewana 2,India,Jan-17,2013,Comedy,3.4
366,Movie,Nila,India,Jan-17,2016,"Drama,Romance",6.8
367,Movie,Revelations,India,Jan-17,2016,"Thriller,Horror",4.8
368,Movie,Ugly,India,Jan-17,2013,Thriller,8
450,Movie,Pink,India,Jan-17,2016,"Drama,Thriller",8.1
460,Movie,"Twisted Trunk, Big Fat Body",India,Jan-17,2015,Comedy,7
488,Movie,An American in Madras,India,Jan-17,2013,Documentary,6.8
489,Movie,Autohead,India,Jan-17,2016,Drama,5.9
490,Movie,Radiopetti,India,Jan-17,2015,Drama,7.2
491,Movie,Saheb Bibi Golaam,India,Jan-17,2016,"Action,Drama",6.5
492,Movie,The Rat Race,India,Jan-17,2010,Documentary,6.5
493,Movie,Udta Punjab,India,Jan-17,2016,"Action,Drama",7.8
527,Movie,Dilwale,India,Jan-17,2015,Rom-Com,5.2
528,Movie,Happy New Year,India,Jan-17,2014,"Action,Comedy",5
529,Movie,Haraamkhor,India,Jan-17,2015,Drama,6.4
530,Movie,Maroon,India,Jan-17,2016,Thriller,5
635,Movie,Bhouri,India,Jan-17,2017,Drama,6.7
636,Movie,Eh Janam Tumhare Lekhe,India,Jan-17,2015,Drama,8.6
707,Movie,Anarkali of Aarah,India,Jan-17,2017,Drama,6.1
756,TV Show,Badalte Rishton Ki Dastaan,India,Jan-17,2013,Drama,6
757,Movie,Celluloid Man,India,Jan-17,2012,Documentary,7.9
758,Movie,Elaan,India,Jan-17,1971,Thriller,6
759,TV Show,Khelti Hai Zindagi Aankh Micholi,India,Jan-17,2013,Drama,6.2
760,Movie,Killa,India,Jan-17,2014,Drama,7.9
761,TV Show,Maharakshak: Aryan,India,Jan-17,2014,Thriller,5.8
762,TV Show,Razia Sultan,India,Jan-17,2015,"Action,Documentary",5.7
763,Movie,Salaakhen,India,Jan-17,1975,"Action,Drama",5.4
764,Movie,The Human Factor: The Untold Story of the Bombay Film Orchestras,India,Jan-17,2013,Documentary,5.9
495,Movie,Force 2,India,Feb-17,2016,"Action,Thriller",6.2
499,Movie,Mirzya,India,Feb-17,2016,"Action,Drama",4.6
502,Movie,Madaari,India,Feb-17,2016,"Drama,Thriller",7.6
503,Movie,Rocky Handsome,India,Feb-17,2016,"Action,Thriller",6.8
504,Movie,TE3N,India,Feb-17,2016,Thriller,7.3
598,Movie,Jab Harry Met Sejal,India,Feb-17,2017,Rom-Com,5.3
284,Movie,Colkatay Columbus,India,Mar-17,2016,"Drama,Comedy",4
286,Movie,Blood Money,India,Mar-17,2012,"Action,Drama",5
308,Movie,Asoka,India,Mar-17,2001,"Drama,Romance",6.5
